Tiempo(s),Crudo(m),Filtro_EMA(m),Kalman(m)
15.35,0.1085,0.1085,0.0944
15.40,0.1099,0.1089,0.0942
15.45,0.1080,0.1087,0.0940
15.50,0.1089,0.1087,0.0939
15.55,0.1091,0.1088,0.0937
15.60,0.1088,0.1088,0.0936
15.65,0.1088,0.1088,0.0936
15.70,0.1078,0.1085,0.0935
15.75,0.1085,0.1085,0.0934
15.80,0.1090,0.1087,0.0933
15.85,0.1090,0.1088,0.0933
15.90,0.1089,0.1088,0.0933
15.95,0.1077,0.1085,0.0932
16.00,0.1082,0.1084,0.0931
16.05,0.1092,0.1086,0.0931
16.10,0.1080,0.1084,0.0931
16.15,0.1082,0.1084,0.0930
16.20,0.1081,0.1083,0.0929
16.25,0.1074,0.1080,0.0928
16.30,0.1089,0.1083,0.0928
16.35,0.1085,0.1083,0.0928
16.40,0.1090,0.1085,0.0928
16.45,0.1086,0.1085,0.0928
16.50,0.1084,0.1085,0.0928
16.55,0.1087,0.1086,0.0929
16.60,0.1077,0.1083,0.0928
16.65,0.1071,0.1079,0.0927
16.70,0.1088,0.1082,0.0927
16.75,0.1085,0.1083,0.0927
16.80,0.1080,0.1082,0.0927
16.85,0.1090,0.1085,0.0927
16.90,0.1089,0.1086,0.0927
16.95,0.1089,0.1087,0.0927
17.00,0.1083,0.1086,0.0928
17.05,0.1088,0.1086,0.0928
17.10,0.1088,0.1087,0.0928
17.15,0.1097,0.1090,0.0929
17.20,0.1093,0.1091,0.0930
17.25,0.1081,0.1088,0.0930
17.30,0.1089,0.1088,0.0930
17.35,0.1086,0.1088,0.0930
17.40,0.1089,0.1088,0.0930
17.45,0.1084,0.1087,0.0931
17.50,0.1086,0.1087,0.0931
17.55,0.1088,0.1087,0.0930
17.60,0.1084,0.1086,0.0930
17.65,0.1089,0.1087,0.0930
17.70,0.1080,0.1085,0.0930
17.75,0.1088,0.1086,0.0930
17.80,0.1089,0.1087,0.0930
17.85,0.1083,0.1086,0.0930
17.90,0.1085,0.1085,0.0930
17.95,0.1085,0.1085,0.0929
18.00,0.1084,0.1085,0.0929
18.05,0.1090,0.1086,0.0929
18.10,0.1079,0.1084,0.0929
18.15,0.1083,0.1084,0.0929
18.20,0.1089,0.1085,0.0929
18.25,0.1084,0.1085,0.0929
18.30,0.1093,0.1087,0.0929
18.35,0.1092,0.1089,0.0929
18.40,0.1074,0.1084,0.0929
18.45,0.1048,0.1073,0.0927
18.50,0.1026,0.1059,0.0923
18.55,0.1025,0.1049,0.0918
18.60,0.1013,0.1038,0.0913
18.65,0.0997,0.1026,0.0906
18.70,0.0976,0.1011,0.0898
18.75,0.1014,0.1012,0.0964
18.80,0.1034,0.1018,0.1021
18.85,0.1072,0.1035,0.1072
18.90,0.1085,0.1050,0.1117
18.95,0.1090,0.1062,0.1156
19.00,0.1089,0.1070,0.1190
19.05,0.1090,0.1076,0.1200
19.10,0.1090,0.1080,0.1200
19.15,0.1089,0.1083,0.1181
19.20,0.1084,0.1083,0.1166
19.25,0.1087,0.1084,0.1154
19.30,0.1091,0.1086,0.1119
19.35,0.1089,0.1087,0.1089
19.40,0.1091,0.1088,0.1065
19.45,0.1091,0.1089,0.1044
19.50,0.1092,0.1090,0.1027
19.55,0.1087,0.1089,0.1012
19.60,0.1081,0.1087,0.0999
19.65,0.1084,0.1086,0.0989
19.70,0.1086,0.1086,0.0979
19.75,0.1092,0.1088,0.0972
19.80,0.1088,0.1088,0.0965
19.85,0.1094,0.1090,0.0960
19.90,0.1092,0.1090,0.0957
19.95,0.1090,0.1090,0.0953
20.00,0.1085,0.1089,0.0950
20.05,0.1087,0.1088,0.0947
20.10,0.1089,0.1088,0.0944
20.15,0.1092,0.1089,0.0943
20.20,0.1083,0.1087,0.0941
20.25,0.1075,0.1084,0.0939
20.30,0.1067,0.1079,0.0936
20.35,0.1048,0.1069,0.0932
20.40,0.1026,0.1056,0.0927
20.45,0.1029,0.1048,0.0922
20.50,0.1009,0.1037,0.0915
20.55,0.1008,0.1028,0.0909
20.60,0.0989,0.1016,0.0900
20.65,0.0972,0.1003,0.0892
20.70,0.0996,0.1001,0.0958
20.75,0.1019,0.1006,0.1014
20.80,0.1039,0.1016,0.1063
20.85,0.1084,0.1037,0.1107
20.90,0.1085,0.1051,0.1146
20.95,0.1093,0.1064,0.1180
21.00,0.1080,0.1069,0.1200
21.05,0.1083,0.1073,0.1200
21.10,0.1087,0.1077,0.1180
21.15,0.1090,0.1081,0.1165
21.20,0.1090,0.1084,0.1153
21.25,0.1079,0.1082,0.1117
21.30,0.1082,0.1082,0.1088
21.35,0.1085,0.1083,0.1063
21.40,0.1087,0.1084,0.1041
21.45,0.1087,0.1085,0.1024
21.50,0.1095,0.1088,0.1009
21.55,0.1078,0.1085,0.0997
21.60,0.1080,0.1084,0.0986
21.65,0.1093,0.1086,0.0977
21.70,0.1085,0.1086,0.0970
21.75,0.1085,0.1086,0.0963
21.80,0.1078,0.1083,0.0958
21.85,0.1080,0.1082,0.0953
21.90,0.1088,0.1084,0.0948
21.95,0.1083,0.1084,0.0946
22.00,0.1086,0.1084,0.0943
22.05,0.1081,0.1083,0.0940
22.10,0.1086,0.1084,0.0939
22.15,0.1093,0.1087,0.0937
22.20,0.1081,0.1085,0.0936
22.25,0.1084,0.1085,0.0934
22.30,0.1090,0.1086,0.0934
22.35,0.1085,0.1086,0.0933
22.40,0.1086,0.1086,0.0932
22.45,0.1084,0.1085,0.0932
22.50,0.1087,0.1086,0.0932
22.55,0.1089,0.1087,0.0931
22.60,0.1095,0.1089,0.0932
22.65,0.1084,0.1088,0.0931
22.70,0.1088,0.1088,0.0931
22.75,0.1086,0.1087,0.0932
22.80,0.1088,0.1087,0.0931
22.85,0.1084,0.1086,0.0931
22.90,0.1090,0.1087,0.0930
22.95,0.1083,0.1086,0.0931
23.00,0.1084,0.1086,0.0931
23.05,0.1090,0.1087,0.0930
23.10,0.1077,0.1084,0.0930
23.15,0.1093,0.1087,0.0930
23.20,0.1085,0.1086,0.0930
23.25,0.1084,0.1085,0.0930
23.30,0.1086,0.1086,0.0929
23.35,0.1086,0.1086,0.0930
23.40,0.1087,0.1086,0.0930
23.45,0.1089,0.1087,0.0930
23.50,0.1092,0.1088,0.0930
23.55,0.1086,0.1088,0.0930
23.60,0.1092,0.1089,0.0931
23.65,0.1081,0.1087,0.0931
23.70,0.1087,0.1087,0.0930
23.75,0.1081,0.1085,0.0930
23.80,0.1087,0.1086,0.0929
23.85,0.1081,0.1084,0.0930
23.90,0.1093,0.1087,0.0930
23.95,0.1082,0.1085,0.0929
24.00,0.1087,0.1086,0.0930
24.05,0.1091,0.1087,0.0929
